clip_id,title,duration,description,rep,ad_title,date,year,state,party,won,opponent,brightness_mean,brightness_std,brightness_range,mean_spectral_entropy,energy,rms,zcr,total_words,words_per_second,approve_location,rep_count,opponent_count,party_count,out_party_count,trump_count,out_party
631,Abby Finkenauer - Right Here,30,"Originally published on Oct. 27, 2020.",abbyfinkenauer,Right Here,"Oct. 27, 2020.",2020,IA,Democrat,No,Ashley Hinson,130.83387459061922,9.6659763748944,136.14360894097223,4.4996805,14.381935,0.07425411,0.038232785,68,2.27,22.06,1,0,0,0,0,Republican
632,Abby Finkenauer - Kyle,30,"Originally published on Oct. 20, 2020.",abbyfinkenauer,Kyle,"Oct. 20, 2020.",2020,IA,Democrat,No,Ashley Hinson,118.0085609524485,19.490848417414856,156.03130425347223,4.351095,12.744093,0.06960616,0.03530396,75,2.5,28.8,3,2,0,0,0,Republican
633,Abby Finkenauer - Chair,30,"Originally published on Oct. 20, 2020.",abbyfinkenauer,Chair,"Oct. 20, 2020.",2020,IA,Democrat,No,Ashley Hinson,108.59805205203035,12.428937901673716,54.21967230902777,4.8692293,11.757708,0.06341228,0.0473425,63,2.1,24.76,1,0,0,0,0,Republican
634,Abby Finkenauer - Together,30,"Originally published on Oct. 8, 2020.",abbyfinkenauer,Together,"Oct. 8, 2020.",2020,IA,Democrat,No,Ashley Hinson,97.67642308661078,17.8793430608367,124.49197952835648,4.5679197,17.474968,0.08604683,0.03186714,78,2.6,22.31,1,0,0,0,0,Republican
635,Abby Finkenauer - Effective,30,"Originally published on Oct. 5, 2020.",abbyfinkenauer,Effective,"Oct. 5, 2020.",2020,IA,Democrat,No,Ashley Hinson,88.06459726239885,20.72768834019349,128.40144856770834,4.7170405,10.587398,0.0644043,0.06296268,77,2.57,19.48,3,0,1,1,0,Republican
636,Abby Finkenauer - Lifeline,30,"Originally published on Sept. 28, 2020.",abbyfinkenauer,Lifeline,"Sept. 28, 2020.",2020,IA,Democrat,No,Ashley Hinson,110.66483986973547,24.20769077061254,88.98042353877315,4.653961,13.948362,0.07097829,0.067452766,66,2.2,27.27,1,0,0,0,0,Republican
637,Abby Finkenauer - Crazy,30,"Originally published on Sept. 23, 2020.",abbyfinkenauer,Crazy,"Sept. 23, 2020.",2020,IA,Democrat,No,Ashley Hinson,102.99055959526008,32.109641155161306,147.99290183738427,4.53099,9.033539,0.052103467,0.029092949,79,2.63,22.78,2,1,0,0,0,Republican
638,Abby Finkenauer - Dianne,30,"Originally published on Sept. 11, 2020.",abbyfinkenauer,Dianne,"Sept. 11, 2020.",2020,IA,Democrat,No,Ashley Hinson,102.53993983542564,29.87695869277422,147.82526765046296,4.771437,11.531981,0.0627133,0.053302452,85,2.83,28.24,3,0,0,0,0,Republican
639,Abby Finkenauer - Grandpa,30,"Originally published on Sept. 1, 2020.",abbyfinkenauer,Grandpa,"Sept. 1, 2020.",2020,IA,Democrat,No,Ashley Hinson,107.64976832565068,15.908743744469252,125.11205150462963,4.5346117,8.853398,0.05947465,0.044883996,78,2.6,21.54,1,0,0,0,0,Republican
640,Abby Finkenauer - The List,30,"Originally published on Aug. 31, 2020.",abbyfinkenauer,The List,"Aug. 31, 2020.",2020,IA,Democrat,No,Ashley Hinson,103.01244777319472,23.998744251149866,142.611572265625,4.702152,14.620838,0.07450448,0.04265914,72,2.4,26.25,1,0,0,0,0,Republican
641,Abby Finkenauer - Storm Resources,30,"Originally published on Aug. 19, 2020.",abbyfinkenauer,Storm Resources,"Aug. 19, 2020.",2020,IA,Democrat,No,Ashley Hinson,66.90630152373777,20.865527446825173,109.08775499131944,4.836672,8.270783,0.049867015,0.060738068,84,2.8,20.71,1,0,0,0,0,Republican
642,Abby Finkenauer - Abolish,30,"Originally published on Aug. 7, 2020.",abbyfinkenauer,Abolish,"Aug. 7, 2020.",2020,IA,Democrat,No,Ashley Hinson,93.49387148669943,14.86783602746752,117.20487015335648,4.91016,10.204819,0.062513515,0.057146203,77,2.57,1.56,1,0,0,1,0,Republican
643,Abby Finkenauer - Build Up,30,"Originally published on July 27, 2020.",abbyfinkenauer,Build Up,"July 27, 2020.",2020,IA,Democrat,No,Ashley Hinson,90.81696809825604,14.566790609659588,116.8984375,4.8706994,9.834223,0.060851943,0.066173784,69,2.3,26.09,1,0,0,0,0,Republican
744,Abby Finkenauer - Caller ID,30,"Originally published on Sept 4, 2018",abbyfinkenauer,Caller ID,"Sept 4, 2018",2018,IA,Democrat,Yes,Rod Blum,100.02129343438176,23.099431760119774,188.6037235966436,4.749167,8.517788,0.05038597,0.082064494,70,2.33,25.71,1,0,0,0,0,Republican
746,Abby Finkenauer - Personal,30,"Originally published on Nov 2, 2018",abbyfinkenauer,Personal,"Nov 2, 2018",2018,IA,Democrat,Yes,Rod Blum,118.86839138706034,15.316398743186896,59.45932798032406,4.720859,8.223113,0.055303313,0.051173847,72,2.4,1.25,1,2,0,0,0,Republican
747,Abby Finkenauer - Hope,30,"Originally published on Nov 1, 2018",abbyfinkenauer,Hope,"Nov 1, 2018",2018,IA,Democrat,Yes,Rod Blum,93.98428461517008,15.650900170445048,65.2606517650463,4.795186,9.143699,0.058446597,0.055510923,83,2.77,27.71,1,0,0,0,0,Republican
748,Abby Finkenauer - Support,30,"Originally published on Oct 26, 2018",abbyfinkenauer,Support,"Oct 26, 2018",2018,IA,Democrat,Yes,Rod Blum,96.54410039577482,19.62143663210517,145.26280381944446,4.710053,9.982833,0.063491344,0.04025717,94,3.133,27.66,5,3,0,1,0,Republican
749,Abby Finkenauer - Make a Living,30,"Originally published on Oct 2, 2018",abbyfinkenauer,Make a Living,"Oct 2, 2018",2018,IA,Democrat,Yes,Rod Blum,95.36543021132664,24.912670116368563,201.17446108217592,4.815526,6.7187505,0.044577677,0.055866394,70,2.33,25.71,1,1,0,0,0,Republican
750,Abby Finkenauer - Trust,30,"Originally published on Sept 20, 2018",abbyfinkenauer,Trust,"Sept 20, 2018",2018,IA,Democrat,Yes,Rod Blum,94.20895998225764,11.784078961824344,155.77435076678242,4.783443,5.533999,0.03907773,0.05744462,71,2.37,25.35,1,0,0,0,0,Republican
999,Abby Finkenauer - Tom,30,"Originally published on Aug. 19, 2018",abbyfinkenauer,Tom,"Aug. 19, 2018",2018,IA,Democrat,Yes,Rod Blum,106.33706795624887,23.40601738717985,214.95827003761573,4.6001987,8.540759,0.057897773,0.044871133,103,3.43,26.89,3,0,0,0,0,Republican
1024,Abby Finkenauer - Dinner Table,30,"Originally published on Aug. 14, 2018",abbyfinkenauer,Dinner Table,"Aug. 14, 2018",2018,IA,Democrat,Yes,Rod Blum,83.09822334761283,21.31710117587969,165.0651493778935,4.5939975,5.184234,0.044876397,0.044536017,79,2.63,22.78,1,0,0,0,0,Republican
1097,Abby Finkenauer - Good Lives,30,"Originally published on May 17, 2018",abbyfinkenauer,Good Lives,"May 17, 2018",2018,IA,Democrat,Yes,Rod Blum,89.73182153270078,19.604015175185733,78.29276077835647,4.1646504,7.5357404,0.055335723,0.0383588,85,2.83,26.82,1,1,0,0,0,Republican
1098,Abby Finkenauer - Shirt,30,"Originally published on May 3, 2018",abbyfinkenauer,Shirt,"May 3, 2018",2018,IA,Democrat,Yes,Rod Blum,71.11402465532264,20.094778421354498,116.09978117766204,4.3023458,8.942711,0.059819933,0.039988838,71,2.37,25.35,2,0,0,0,0,Republican
649,Abigail Spanberger - It's all about people,30,"Originally published on Nov 5, 2018",abigailspanberger,It's all about people,"Nov 5, 2018",2018,VA,Democrat,Yes,Dave Brat,108.5596996668435,7.9303308253202065,28.83603696469909,4.715101,10.052524,0.06376225,0.033109345,89,2.97,26.07,3,0,0,2,0,Republican
650,Abigail Spanberger - Superhero,30,"Originally published on Oct 22, 2018",abigailspanberger,Superhero,"Oct 22, 2018",2018,VA,Democrat,Yes,Dave Brat,118.64264060440378,8.373984619827077,144.54484953703704,4.571345,10.2786045,0.063673384,0.060274646,68,2.27,20.29,1,0,0,0,0,Republican
666,Abigail Spanberger - Fix,30,"Originally published October 13, 2018.",abigailspanberger,Fix,"October 13, 2018.",2018,VA,Democrat,Yes,Dave Brat,70.74789284373156,1.946411261857226,10.038872612847229,4.637249,9.254288,0.058309294,0.04341745,79,2.63,22.78,1,0,0,0,0,Republican
667,Abigail Spanberger - Joe,30,"Originally published October 10, 2018.",abigailspanberger,Joe,"October 10, 2018.",2018,VA,Democrat,Yes,Dave Brat,107.01190155134329,16.798022443484843,198.19440827546293,4.517456,8.496007,0.0553224,0.039619055,74,2.47,27.03,3,0,0,1,0,Republican
668,Abigail Spanberger - Work Together,30,"Originally published October 10, 2018.",abigailspanberger,Work Together,"October 10, 2018.",2018,VA,Democrat,Yes,Dave Brat,101.0090955080834,15.338889725253493,173.27048972800927,4.818074,10.36285,0.060567785,0.05033549,84,2.8,26.79,1,0,0,2,0,Republican
669,Abigail Spanberger - What it Takes,30,"Originally published October 4, 2018.",abigailspanberger,What it Takes,"October 4, 2018.",2018,VA,Democrat,Yes,Dave Brat,106.04723359641508,20.125223536535238,221.81650571469905,4.790871,7.771015,0.05039624,0.052761666,70,2.33,28.29,1,0,0,0,0,Republican
670,Abigail Spanberger - Jody,30,"Originally published September 28, 2018.",abigailspanberger,Jody,"September 28, 2018.",2018,VA,Democrat,Yes,Dave Brat,88.86500403569688,21.98622381949796,220.62140118634252,4.5523663,9.603652,0.057189822,0.05241358,86,2.87,1.74,2,2,0,0,0,Republican
671,Abigail Spanberger - Stood Up,30,"Originally published September 25, 2018.",abigailspanberger,Stood Up,"September 25, 2018.",2018,VA,Democrat,Yes,Dave Brat,84.60974331159782,25.54028295488216,135.68857602719908,4.7228794,7.002735,0.044948477,0.054679714,71,2.37,28.59,1,0,0,0,0,Republican
672,Abigail Spanberger - Training,30,"Originally published September 19, 2018.",abigailspanberger,Training,"September 19, 2018.",2018,VA,Democrat,Yes,Dave Brat,83.93460021953871,22.131484925303017,171.31941731770834,4.987448,6.922597,0.04932479,0.10068031,69,2.3,18.26,1,0,0,0,0,Republican
673,Abigail Spanberger - Vetted,30,"Originally published September 11, 2018.",abigailspanberger,Vetted,"September 11, 2018.",2018,VA,Democrat,Yes,Dave Brat,95.65061516573022,25.99269531668607,139.56479673032408,4.4334,1.4124078,0.020548465,0.047428433,78,2.6,1.15,4,1,0,0,0,Republican
674,Abigail Spanberger - Stack,30,"Originally published September 5, 2018.",abigailspanberger,Stack,"September 5, 2018.",2018,VA,Democrat,Yes,Dave Brat,80.28745509979629,36.32719412971387,187.99338107638889,4.8332496,10.595131,0.06442894,0.043144878,80,2.67,26.625,1,0,0,0,0,Republican
