clip_id,rep,opponent,party,out_party,total_words,words_per_second,approve_location,rep_count,opponent_count,party_count,out_party_count,trump_count,rep_locations,opponent_locations,party_locations,out_party_locations,trump_locations
00001,annapaulinaluna,ericlynn,republican,democrat,72,2.4,28.333333333333332,4,0,0,0,3,"[0.41666666666666663, 3.75, 15.416666666666664, 27.083333333333332]",[],[],[],"[2.5, 17.083333333333332, 22.916666666666664]"
00002,annapaulinaluna,ericlynn,republican,democrat,79,2.6333333333333333,28.481012658227847,0,0,0,0,0,[],[],[],[],[]
00003,annapaulinaluna,ericlynn,republican,democrat,71,2.3666666666666667,,0,0,0,0,0,[],[],[],[],[]
00006,cindyhydesmith,mikeespy,republican,democrat,90,3.0,1.3333333333333335,2,0,0,0,0,"[0.5, 26.833333333333336]",[],[],[],[]
00007,cindyhydesmith,mikeespy,republican,democrat,96,3.2,1.25,1,0,0,0,0,[0.46875],[],[],[],[]
00008,cindyhydesmith,mikeespy,republican,democrat,93,3.1,1.2903225806451615,2,0,0,0,0,"[0.4838709677419355, 25.64516129032258]",[],[],[],[]
00009,cindyhydesmith,mikeespy,republican,democrat,96,3.2,1.25,5,3,0,0,0,"[0.46875, 10.15625, 17.03125, 25.46875, 29.53125]","[5.78125, 13.59375, 21.09375]",[],[],[]
00010,cindyhydesmith,mikeespy,republican,democrat,90,3.0,1.3333333333333335,2,1,0,0,0,"[0.5, 16.5]",[5.833333333333333],[],[],[]
00011,cindyhydesmith,mikeespy,republican,democrat,84,2.8,1.4285714285714284,2,2,0,0,0,"[0.5357142857142857, 17.67857142857143]","[6.25, 11.607142857142858]",[],[],[]
00012,ilhanomar,cicelydavis,democrat,republican,73,2.433333333333333,27.534246575342465,2,0,0,0,0,"[17.465753424657535, 26.506849315068493]",[],[],[],[]
00013,ilhanomar,lacyjohnson,democrat,republican,80,2.6666666666666665,1.5,1,0,0,0,0,[0.5625],[],[],[],[]
00015,ilhanomar,lacyjohnson,democrat,republican,66,2.2,27.272727272727273,1,0,0,0,0,[26.136363636363637],[],[],[],[]
00021,ilhanomar,,democrat,republican,83,2.7666666666666666,,2,0,0,0,1,"[7.771084337349397, 28.734939759036145]",[],[],[],[0.7228915662650602]
00027,hillaryscholten,paulhudson,democrat,republican,80,2.6666666666666665,23.625,0,0,0,0,0,[],[],[],[],[]
00028,hillaryscholten,paulhudson,democrat,republican,79,2.6333333333333333,28.481012658227847,0,0,0,0,0,[],[],[],[],[]
00029,hillaryscholten,johngibbs,democrat,republican,82,2.7333333333333334,20.853658536585364,0,0,0,0,0,[],[],[],[],[]
00030,hillaryscholten,johngibbs,democrat,republican,87,2.9,27.93103448275862,0,1,0,1,0,[],[15.344827586206897],[],[3.7931034482758625],[]
00031,hillaryscholten,johngibbs,democrat,republican,89,2.966666666666667,19.8876404494382,0,0,0,0,0,[],[],[],[],[]
00032,hillaryscholten,johngibbs,democrat,republican,93,3.1,18.387096774193548,0,0,0,0,0,[],[],[],[],[]
00033,hillaryscholten,johngibbs,democrat,republican,79,2.6333333333333333,21.265822784810126,0,0,0,0,0,[],[],[],[],[]
00034,hillaryscholten,johngibbs,democrat,republican,85,2.8333333333333335,25.058823529411764,0,0,0,0,0,[],[],[],[],[]
00035,hillaryscholten,petermeijer,democrat,republican,80,2.6666666666666665,10.125,0,0,0,0,0,[],[],[],[],[]
00036,hillaryscholten,petermeijer,democrat,republican,72,2.4,23.333333333333332,0,0,0,0,0,[],[],[],[],[]
00038,hillaryscholten,petermeijer,democrat,republican,87,2.9,28.620689655172413,0,0,0,0,0,[],[],[],[],[]
00039,hillaryscholten,petermeijer,democrat,republican,78,2.6,28.46153846153846,0,0,0,1,0,[],[],[],[1.153846153846154],[]
