total_words,words_per_second,approve_location,rep_count,rep_locations,opponent_count,opponent_locations,party_count,party_locations,out_party_count,out_party_locations,trump_count,trump_locations,clip_id,rep,opponent,party,out_party
58,1.93,27.59,4,"[0.0, 3.62, 16.38, 27.07]",0,[],0,[],0,[],4,"[3.1, 12.41, 19.83, 22.41]",00001,annapaulinaluna,Eric Lynn,Republican,Democrat
73,2.43,26.71,2,"[12.33, 25.75]",3,"[2.05, 5.75, 9.86]",0,[],0,[],0,[],00002,annapaulinaluna,Eric Lynn,Republican,Democrat
66,2.2,,0,[],3,"[0.45, 20.0, 21.36]",0,[],2,"[4.55, 6.36]",0,[],00003,annapaulinaluna,Eric Lynn,Republican,Democrat
88,2.93,3.07,2,"[0.68, 24.32]",0,[],0,[],0,[],0,[],00006,cindyhydesmith,Mike Espy,Republican,Democrat
90,3.0,3.33,1,[0.33],0,[],0,[],0,[],1,[18.0],00007,cindyhydesmith,Mike Espy,Republican,Democrat
79,2.63,1.52,2,"[0.38, 22.78]",0,[],0,[],0,[],0,[],00008,cindyhydesmith,Mike Espy,Republican,Democrat
80,2.67,3.75,5,"[0.375, 9.0, 16.5, 25.875, 28.5]",3,"[7.125, 14.625, 22.125]",0,[],0,[],0,[],00009,cindyhydesmith,Mike Espy,Republican,Democrat
85,2.83,1.76,2,"[0.35, 17.65]",1,[7.06],0,[],0,[],0,[],00010,cindyhydesmith,Mike Espy,Republican,Democrat
85,2.83,2.47,2,"[1.06, 18.35]",2,"[7.06, 12.0]",0,[],0,[],0,[],00011,cindyhydesmith,Mike Espy,Republican,Democrat
71,2.37,25.35,2,"[18.31, 23.94]",0,[],0,[],0,[],0,[],00012,ilhanomar,Cicely Davis,Democrat,Republican
71,2.37,1.69,1,[0.42],0,[],0,[],0,[],0,[],00013,ilhanomar,Lacy Johnson,Democrat,Republican
54,1.8,25.0,1,[23.89],0,[],0,[],0,[],0,[],00015,ilhanomar,Lacy Johnson,Democrat,Republican
80,2.67,,4,"[7.5, 16.5, 23.25, 26.625]",0,[],0,[],0,[],1,[0.75],00021,ilhanomar,,Democrat,Republican
67,2.23,21.49,0,[],0,[],0,[],0,[],0,[],00027,hillaryscholten,Paul Hudson,Democrat,Republican
